NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
NY CITY CENTRAL PARK,2014-03-25,5.82,0,0,0,39,26
NY CITY CENTRAL PARK,2014-03-26,11.86,0,0,0,36,24
NY CITY CENTRAL PARK,2014-03-27,6.71,0,0,0,44,22
NY CITY CENTRAL PARK,2014-03-28,5.37,0.04,0,0,62,37
NY CITY CENTRAL PARK,2014-03-29,10.74,1.81,0,0,59,43
NY CITY CENTRAL PARK,2014-03-30,10.07,0.35,0,0,49,39
NY CITY CENTRAL PARK,2014-03-31,8.28,0.16,0,0,56,36
NY CITY CENTRAL PARK,2014-04-01,4.7,0,0,0,60,39
NY CITY CENTRAL PARK,2014-04-02,2.01,0,0,0,54,42
NY CITY CENTRAL PARK,2014-04-03,3.8,0.07,0,0,67,46
NY CITY CENTRAL PARK,2014-04-04,8.5,0.21,0,0,47,40
NY CITY CENTRAL PARK,2014-04-05,8.5,0,0,0,54,40
NY CITY CENTRAL PARK,2014-04-06,4.25,0,0,0,61,36
NY CITY CENTRAL PARK,2014-04-07,6.04,0.52,0,0,53,43
NY CITY CENTRAL PARK,2014-04-08,6.93,0.34,0,0,64,46
NY CITY CENTRAL PARK,2014-04-09,6.93,0,0,0,61,45
NY CITY CENTRAL PARK,2014-04-10,6.93,0,0,0,58,42
NY CITY CENTRAL PARK,2014-04-11,5.82,0,0,0,75,56
NY CITY CENTRAL PARK,2014-04-12,4.25,0,0,0,73,50
NY CITY CENTRAL PARK,2014-04-13,5.82,0,0,0,77,54
NY CITY CENTRAL PARK,2014-04-14,7.38,0,0,0,75,59
NY CITY CENTRAL PARK,2014-04-15,8.72,0.71,0,0,63,33
NY CITY CENTRAL PARK,2014-04-16,7.61,0.05,0,0,49,31
NY CITY CENTRAL PARK,2014-04-17,7.83,0,0,0,48,36
NY CITY CENTRAL PARK,2014-04-18,5.37,0,0,0,49,35
NY CITY CENTRAL PARK,2014-04-19,5.59,0,0,0,68,41
NY CITY CENTRAL PARK,2014-04-20,6.26,0,0,0,60,45
NY CITY CENTRAL PARK,2014-04-21,4.25,0,0,0,67,41
NY CITY CENTRAL PARK,2014-04-22,5.59,0.01,0,0,71,51
NY CITY CENTRAL PARK,2014-04-23,9.4,0,0,0,61,44
NY CITY CENTRAL PARK,2014-04-24,8.5,0,0,0,62,42
NY CITY CENTRAL PARK,2014-04-25,4.92,0.02,0,0,63,44
NY CITY CENTRAL PARK,2014-04-26,5.37,0.92,0,0,67,46
NY CITY CENTRAL PARK,2014-04-27,5.82,0,0,0,59,47
NY CITY CENTRAL PARK,2014-04-28,4.25,0,0,0,67,45
NY CITY CENTRAL PARK,2014-04-29,8.95,0.03,0,0,52,43
NY CITY CENTRAL PARK,2014-04-30,8.28,4.97,0,0,52,41
NY CITY CENTRAL PARK,2014-05-01,4.47,0.12,0,0,78,51
NY CITY CENTRAL PARK,2014-05-02,4.47,0,0,0,70,56
NY CITY CENTRAL PARK,2014-05-03,3.36,0.08,0,0,71,54
NY CITY CENTRAL PARK,2014-05-04,8.28,0.02,0,0,65,54
NY CITY CENTRAL PARK,2014-05-05,7.38,0,0,0,70,50
NY CITY CENTRAL PARK,2014-05-06,3.8,0,0,0,71,52
NY CITY CENTRAL PARK,2014-05-07,4.03,0,0,0,69,50
NY CITY CENTRAL PARK,2014-05-08,4.47,0.41,0,0,59,53
NY CITY CENTRAL PARK,2014-05-09,3.13,0.04,0,0,63,55
NY CITY CENTRAL PARK,2014-05-10,4.47,0.37,0,0,83,57
NY CITY CENTRAL PARK,2014-05-11,3.13,0.03,0,0,82,60
NY CITY CENTRAL PARK,2014-05-12,1.79,0,0,0,85,64
NY CITY CENTRAL PARK,2014-05-13,7.16,0,0,0,73,53
NY CITY CENTRAL PARK,2014-05-14,4.7,0.01,0,0,71,52
NY CITY CENTRAL PARK,2014-05-15,5.37,0.15,0,0,71,58
NY CITY CENTRAL PARK,2014-05-16,6.49,1.54,0,0,68,58
NY CITY CENTRAL PARK,2014-05-17,4.92,0,0,0,70,53
NY CITY CENTRAL PARK,2014-05-18,5.82,0,0,0,67,51
NY CITY CENTRAL PARK,2014-05-19,4.7,0,0,0,72,49
NY CITY CENTRAL PARK,2014-05-20,3.13,0,0,0,78,53
NY CITY CENTRAL PARK,2014-05-21,2.46,0,0,0,74,63
NY CITY CENTRAL PARK,2014-05-22,3.13,0.24,0,0,67,59
NY CITY CENTRAL PARK,2014-05-23,4.25,0.91,0,0,71,56
NY CITY CENTRAL PARK,2014-05-24,3.58,0.4,0,0,70,57
NY CITY CENTRAL PARK,2014-05-25,2.01,0,0,0,80,55
NY CITY CENTRAL PARK,2014-05-26,4.92,0,0,0,86,66
NY CITY CENTRAL PARK,2014-05-27,4.25,0,0,0,86,64
NY CITY CENTRAL PARK,2014-05-28,7.61,0,0,0,64,54
NY CITY CENTRAL PARK,2014-05-29,4.25,0,0,0,66,51
NY CITY CENTRAL PARK,2014-05-30,2.46,0,0,0,75,55
NY CITY CENTRAL PARK,2014-05-31,5.82,0.05,0,0,73,57
NY CITY CENTRAL PARK,2014-06-01,3.58,0,0,0,77,55
NY CITY CENTRAL PARK,2014-06-02,4.47,0,0,0,80,59
NY CITY CENTRAL PARK,2014-06-03,4.03,0.12,0,0,87,65
NY CITY CENTRAL PARK,2014-06-04,3.58,0,0,0,82,63
NY CITY CENTRAL PARK,2014-06-05,5.59,0.87,0,0,76,61
NY CITY CENTRAL PARK,2014-06-06,4.47,0,0,0,76,61
NY CITY CENTRAL PARK,2014-06-07,2.91,0,0,0,82,60
NY CITY CENTRAL PARK,2014-06-08,2.91,0,0,0,86,66
NY CITY CENTRAL PARK,2014-06-09,4.25,1.6,0,0,73,63
NY CITY CENTRAL PARK,2014-06-10,3.36,0,0,0,77,65
